team,year,wins,losses,ties,win_pct,rush_yards,rush_yards_gained,rush_yards_lost,rush_attempts,avg_rush_yards_attempt,avg_rush_yards_game,rush_tds,pass_attempts,avg_pass_yards_attempt,avg_pass_yards_game,pass_tds,total_offensive_plays,avg_yards_play,avg_yards_game,interceptions_thrown,third_down_conv,fourth_down_conv,sacks_taken,tds_scored,time_of_possession_game_min,total_penalties,avg_penalty_yards_game,opp_rush_yards,opp_rush_yards_gained,opp_rush_yards_lost,opp_rush_attempts,opp_avg_rush_yards_attempt,opp_avg_rush_yards_game,opp_rush_tds,opp_pass_attempts,opp_avg_pass_yards_attempt,opp_avg_pass_yards_game,opp_pass_tds,total_defensive_plays,opp_avg_yards_play,opp_avg_yards_game,interceptions,opp_third_down_conv,opp_fourth_down_conv,sacks,opp_tds_scored,opp_time_of_possession_game_min,opp_total_penalties,opp_avg_penalty_yards_game
CSU Pueblo,2015,12,2,0,0.8571428571428571,4074.0,4459.0,385.0,627.0,6.5,291.0,47.0,229.0,7.64,125.0,16.0,856.0,6.8,416.0,12.0,0.3293,0.2,19.0,68.0,29.47,95.0,65.57,1324.0,1822.0,498.0,460.0,2.9,94.6,12.0,533.0,5.63,214.21,16.0,993.0,4.4,308.8,24.0,0.3193,0.2903,42.0,28.0,30.53,89.0,60.71
CSU Pueblo,2016,8,3,0,0.7272727272727273,2154.0,2352.0,198.0,410.0,5.3,195.8,24.0,300.0,6.77,184.55,17.0,710.0,5.9,380.4,12.0,0.3926,0.6,18.0,46.0,30.37,70.0,66.45,925.0,1228.0,303.0,334.0,2.8,84.1,7.0,391.0,6.24,221.82,16.0,725.0,4.6,305.9,14.0,0.3631,0.2667,19.0,25.0,29.63,59.0,51.18
CSU Pueblo,2017,9,3,0,0.75,2171.0,2404.0,233.0,429.0,5.1,180.9,29.0,349.0,7.03,204.5,20.0,778.0,5.9,385.4,10.0,0.4323,0.5833,16.0,56.0,30.17,97.0,78.75,1327.0,1620.0,293.0,419.0,3.2,110.6,7.0,380.0,5.04,159.67,10.0,799.0,4.1,270.3,23.0,0.3115,0.4,27.0,21.0,29.83,66.0,52.25
CSU Pueblo,2018,11,2,0,0.8461538461538461,3260.0,3615.0,355.0,598.0,5.5,250.8,40.0,323.0,6.4,159.0,13.0,921.0,5.8,409.8,6.0,0.2985,0.2985,25.0,59.0,30.02,89.0,70.46,1081.0,1584.0,503.0,507.0,2.1,83.2,8.0,403.0,5.12,158.62,11.0,910.0,3.5,241.8,28.0,0.2664,0.2664,52.0,22.0,29.87,62.0,46.15
CSU Pueblo,2019,11,2,0,0.8461538461538461,2217.0,2573.0,356.0,526.0,4.2,170.5,31.0,316.0,7.75,188.46,14.0,842.0,5.5,359.0,30.0,0.3497,0.4737,26.0,54.0,29.71666666666667,89.0,65.46,959.0,1448.0,489.0,452.0,2.1,73.8,9.0,469.0,6.16,222.31,15.0,921.0,4.2,296.1,6.0,0.311,0.48,48.0,26.0,30.28333333333333,90.0,61.54
CSU Pueblo,2021,6,5,0,0.5454545454545454,1557.0,1848.0,291.0,336.0,4.6,141.5,15.0,366.0,6.55,217.91,17.0,702.0,5.6,359.5,12.0,0.3219,0.5294,23.0,39.0,28.48333333333333,80.0,67.55,1279.0,1661.0,382.0,412.0,3.1,116.3,13.0,358.0,5.88,191.36,11.0,770.0,4.4,307.6,6.0,0.3889,0.3889,32.0,25.0,31.45,74.0,64.73
CSU Pueblo,2022,8,4,0,0.6666666666666666,1855.0,2189.0,334.0,419.0,4.4,154.6,19.0,371.0,8.69,268.75,35.0,790.0,6.4,423.3,19.0,0.3673,0.6,41.0,58.0,30.86666666666667,92.0,74.33,1433.0,1731.0,298.0,399.0,3.6,119.4,17.0,410.0,5.92,202.25,16.0,809.0,4.8,321.7,6.0,0.375,0.4375,27.0,35.0,28.98333333333333,75.0,64.5
CSU Pueblo,2023,8,3,0,0.7272727272727273,1722.0,1934.0,212.0,321.0,5.4,156.5,19.0,416.0,7.66,289.73,38.0,737.0,6.7,446.3,13.0,0.4357,0.25,10.0,63.0,25.85,92.0,75.09,1558.0,1951.0,393.0,439.0,3.5,141.6,17.0,316.0,6.58,189.09,13.0,755.0,4.8,330.7,8.0,0.3333,0.381,36.0,33.0,33.61666666666667,87.0,70.91
CSU Pueblo,2024,10,2,0,0.8333333333333334,1845.0,2016.0,171.0,348.0,5.3,153.8,21.0,424.0,8.73,308.5,36.0,772.0,7.2,462.3,15.0,0.3562,0.5333,15.0,63.0,26.41666666666667,123.0,84.08,1627.0,2026.0,399.0,486.0,3.3,135.6,12.0,422.0,5.6,196.83,17.0,908.0,4.4,332.4,8.0,0.322,0.4857,40.0,30.0,33.43333333333333,97.0,68.33
CSU Pueblo,2025,10,2,0,0.8333333333333334,1744.0,1981.0,237.0,409.0,4.3,145.3,21.0,486.0,7.36,297.92,32.0,895.0,5.9,443.3,17.0,0.4451,0.5,18.0,59.0,27.86666666666667,96.0,68.58,1470.0,1819.0,349.0,461.0,3.2,122.5,18.0,369.0,6.53,200.75,14.0,830.0,4.7,323.3,7.0,0.3652,0.4737,33.0,33.0,32.06666666666667,100.0,71.17
Colorado Mesa,2015,9,2,0,0.8181818181818182,2459.0,2781.0,322.0,499.0,4.9,223.5,21.0,299.0,7.19,195.45,19.0,798.0,5.8,419.0,8.0,0.4142,0.4142,20.0,46.0,32.02,97.0,85.55,1727.0,2077.0,350.0,413.0,4.2,157.0,13.0,386.0,6.34,222.64,7.0,799.0,5.2,379.6,19.0,0.3353,0.3353,23.0,22.0,29.12,83.0,74.64
Colorado Mesa,2016,9,3,0,0.75,2895.0,3197.0,302.0,517.0,5.6,241.3,35.0,386.0,8.26,265.75,20.0,903.0,6.7,507.0,12.0,0.4235,0.4235,26.0,61.0,27.23,97.0,71.58,2383.0,2623.0,240.0,501.0,4.8,198.6,25.0,430.0,7.09,254.17,22.0,931.0,5.8,452.8,14.0,0.3579,0.3579,17.0,49.0,32.37,97.0,73.42
Colorado Mesa,2017,9,2,0,0.8181818181818182,2836.0,3141.0,305.0,475.0,6.0,257.8,41.0,269.0,9.46,231.45,21.0,744.0,7.2,489.3,11.0,0.4143,0.4143,17.0,70.0,24.03,92.0,81.36,1368.0,1682.0,314.0,417.0,3.3,124.4,12.0,520.0,6.41,302.82,22.0,937.0,5.0,427.2,13.0,0.3865,0.3865,21.0,36.0,35.07,76.0,67.36
Colorado Mesa,2018,7,4,0,0.6363636363636364,2308.0,2684.0,376.0,538.0,4.3,209.8,26.0,381.0,7.95,275.36,21.0,919.0,5.8,485.2,13.0,0.4278,0.5217,32.0,50.0,30.93333333333333,83.0,66.18,2019.0,2257.0,238.0,394.0,5.1,183.5,24.0,433.0,7.27,286.09,27.0,827.0,6.2,469.6,11.0,0.3931,0.2632,18.0,51.0,29.23333333333333,78.0,66.45
Colorado Mesa,2019,6,5,0,0.5454545454545454,1866.0,2176.0,310.0,463.0,4.0,169.6,21.0,334.0,6.69,203.0,21.0,797.0,5.1,372.6,16.0,0.3728,0.5832999999999999,29.0,50.0,28.16666666666667,87.0,70.91,2294.0,2634.0,340.0,475.0,4.8,208.5,23.0,373.0,5.98,202.91,16.0,848.0,5.3,411.5,13.0,0.3295,0.375,34.0,46.0,31.83333333333333,76.0,64.18
Colorado Mesa,2021,8,2,0,0.8,1946.0,2287.0,341.0,378.0,5.1,194.6,24.0,311.0,8.28,257.5,19.0,689.0,6.6,452.1,9.0,0.3942,0.375,32.0,43.0,30.63333333333333,77.0,72.7,1089.0,1377.0,288.0,383.0,2.8,108.9,4.0,314.0,4.72,148.1,14.0,697.0,3.7,257.0,4.0,0.3313,0.4286,27.0,19.0,30.53333333333333,52.0,51.6
Colorado Mesa,2022,4,6,0,0.4,1320.0,1622.0,302.0,357.0,3.7,132.0,20.0,387.0,7.88,305.1,24.0,744.0,5.9,437.1,1.0,0.4126,0.45,35.0,48.0,28.03333333333333,73.0,79.3,1187.0,1507.0,320.0,388.0,3.1,118.7,15.0,347.0,7.7,267.3,22.0,735.0,5.3,386.0,14.0,0.3631,0.52,28.0,42.0,31.86666666666667,64.0,58.0
Colorado Mesa,2023,6,5,0,0.5454545454545454,1390.0,1683.0,293.0,337.0,4.1,126.4,20.0,302.0,7.43,203.91,16.0,639.0,5.7,330.3,14.0,0.3212,0.5,30.0,41.0,25.11666666666667,92.0,75.73,1698.0,1971.0,273.0,430.0,3.9,154.4,12.0,392.0,6.54,233.0,25.0,822.0,5.2,387.4,16.0,0.3892,0.3077,28.0,42.0,34.83333333333334,82.0,73.45
