stat_name,sample_size,correlation,abs_correlation,correlation_rank
tds_scored,40,0.7167,0.7167,1
rush_yards,40,0.6282,0.6282,2
avg_yards_play,40,0.6272,0.6272,3
opp_tds_scored,40,-0.5933,0.5933,4
opp_avg_rush_yards_game,40,-0.5681,0.5681,5
rush_tds,40,0.5521,0.5521,6
avg_yards_game,40,0.5478,0.5478,7
opp_avg_yards_game,40,-0.5126,0.5126,8
sacks,40,0.5044,0.5044,9
avg_rush_yards_game,40,0.5030,0.5030,10
opp_avg_yards_play,40,-0.5018,0.5018,11
opp_third_down_conv,40,-0.4994,0.4994,12
opp_rush_yards,40,-0.4341,0.4341,13
third_down_conv,40,0.3989,0.3989,14
pass_tds,40,0.3699,0.3699,15
avg_pass_yards_game,40,0.2827,0.2827,16
opp_avg_pass_yards_game,40,-0.2771,0.2771,17
sacks_taken,40,-0.2663,0.2663,18
pass_attempts,40,0.1820,0.1820,19
interceptions_thrown,40,0.1029,0.1029,20
opp_fourth_down_conv,40,-0.0885,0.0885,21
fourth_down_conv,40,-0.0659,0.0659,22
avg_penalty_yards_game,40,-0.0235,0.0235,23
interceptions,40,-0.0139,0.0139,24
