team, year, wins, losses, ties
CSU Pueblo, 2015, 12, 2, 0,
CSU Pueblo, 2016, 8, 3, 0,
CSU Pueblo, 2017, 9, 3, 0,
CSU Pueblo, 2018, 11, 2, 0,
CSU Pueblo, 2019, 11, 2, 0,
CSU Pueblo, 2021, 6, 5, 0,
CSU Pueblo, 2022, 8, 4, 0,
CSU Pueblo, 2023, 8, 3, 0,
CSU Pueblo, 2024, 10, 2, 0,
CSU Pueblo, 2025, 10, 2, 0,

Colorado Mesa, 2015, 9, 2, 0,
Colorado Mesa, 2016, 9, 3, 0,
Colorado Mesa, 2017, 9, 2, 0,
Colorado Mesa, 2018, 7, 4, 0,
Colorado Mesa, 2019, 6, 5, 0,
Colorado Mesa, 2021, 8, 2, 0,
Colorado Mesa, 2022, 4, 6, 0,
Colorado Mesa, 2023, 6, 5, 0,
Colorado Mesa, 2024, 7, 4, 0,
Colorado Mesa, 2025, 6, 5, 0,

Colorado Mines, 2015, 8, 3, 0,
Colorado Mines, 2016, 10, 3, 0,
Colorado Mines, 2017, 7, 4, 0,
Colorado Mines, 2018, 10, 2, 0,
Colorado Mines, 2019, 12, 1, 0,
Colorado Mines, 2021, 12, 2, 0,
Colorado Mines, 2022, 13, 3, 0,
Colorado Mines, 2023, 14, 1, 0,
Colorado Mines, 2024, 8, 3, 0,
Colorado Mines, 2025, 7, 4, 0,

Western Colorado, 2015, 4, 7, 0,
Western Colorado, 2016, 7, 4, 0,
Western Colorado, 2017, 1, 10, 0,
Western Colorado, 2018, 2, 9, 0,
Western Colorado, 2019, 5, 6, 0,
Western Colorado, 2021, 10, 2, 0,
Western Colorado, 2022, 7, 4, 0,
Western Colorado, 2023, 10, 2, 0,
Western Colorado, 2024, 11, 2, 0,
Western Colorado, 2025, 10, 3, 0,
